Campaign,Ad Group,Keyword,Match Type,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Final URL,Path 1,Path 2
Aikido ML - Brand,Brand - Aikido ML,aikido mariánské lázně,Phrase,"Aikido Mariánské Lázně","BUDO CLUB – Tréninky aikida","3 tréninky zdarma","Tréninky aikida pro děti i dospělé. Úterý a pátek v Mariánských Lázních. Přijďte si vyzkoušet!","První 3 tréninky zcela zdarma. Žádné zkušenosti nejsou potřeba. 200 Kč/měsíc.",https://aikidoml.cz,aikido,marianske-lazne
Aikido ML - Brand,Brand - Aikido ML,aikido marianske lazne,Phrase,"Aikido Mariánské Lázně","BUDO CLUB – Tréninky aikida","3 tréninky zdarma","Tréninky aikida pro děti i dospělé. Úterý a pátek v Mariánských Lázních. Přijďte si vyzkoušet!","První 3 tréninky zcela zdarma. Žádné zkušenosti nejsou potřeba. 200 Kč/měsíc.",https://aikidoml.cz,aikido,marianske-lazne
Aikido ML - Brand,Brand - Aikido ML,budo club mariánské lázně,Phrase,"Aikido Mariánské Lázně","BUDO CLUB – Tréninky aikida","3 tréninky zdarma","Tréninky aikida pro děti i dospělé. Úterý a pátek v Mariánských Lázních. Přijďte si vyzkoušet!","První 3 tréninky zcela zdarma. Žádné zkušenosti nejsou potřeba. 200 Kč/měsíc.",https://aikidoml.cz,aikido,marianske-lazne
Aikido ML - Brand,Brand - Aikido ML,aikido ml,Exact,"Aikido Mariánské Lázně","BUDO CLUB – Tréninky aikida","3 tréninky zdarma","Tréninky aikida pro děti i dospělé. Úterý a pátek v Mariánských Lázních. Přijďte si vyzkoušet!","První 3 tréninky zcela zdarma. Žádné zkušenosti nejsou potřeba. 200 Kč/měsíc.",https://aikidoml.cz,aikido,marianske-lazne
Aikido ML - Bojové umění,Aikido obecné,aikido kurzy,Phrase,"Aikido – Kurzy v Mar. Lázních","Bojové umění pro každého","Začněte bez zkušeností","Aikido rozvíjí tělo i ducha. Naučte se efektivní sebeobranu bez násilí. Tréninky 2× týdně.","Vstup od 200 Kč/měsíc. První 3 lekce zdarma. Přátelský kolektiv a zkušení instruktoři.",https://aikidoml.cz/cs/detaily-treninku/nabor,kurzy,aikido
Aikido ML - Bojové umění,Aikido obecné,aikido trénink,Phrase,"Aikido – Kurzy v Mar. Lázních","Bojové umění pro každého","Začněte bez zkušeností","Aikido rozvíjí tělo i ducha. Naučte se efektivní sebeobranu bez násilí. Tréninky 2× týdně.","Vstup od 200 Kč/měsíc. První 3 lekce zdarma. Přátelský kolektiv a zkušení instruktoři.",https://aikidoml.cz/cs/detaily-treninku/nabor,kurzy,aikido
Aikido ML - Bojové umění,Aikido obecné,aikido pro začátečníky,Phrase,"Aikido – Kurzy v Mar. Lázních","Bojové umění pro každého","Začněte bez zkušeností","Aikido rozvíjí tělo i ducha. Naučte se efektivní sebeobranu bez násilí. Tréninky 2× týdně.","Vstup od 200 Kč/měsíc. První 3 lekce zdarma. Přátelský kolektiv a zkušení instruktoři.",https://aikidoml.cz/cs/detaily-treninku/nabor,kurzy,aikido
Aikido ML - Bojové umění,Aikido obecné,aikido lekce,Phrase,"Aikido – Kurzy v Mar. Lázních","Bojové umění pro každého","Začněte bez zkušeností","Aikido rozvíjí tělo i ducha. Naučte se efektivní sebeobranu bez násilí. Tréninky 2× týdně.","Vstup od 200 Kč/měsíc. První 3 lekce zdarma. Přátelský kolektiv a zkušení instruktoři.",https://aikidoml.cz/cs/detaily-treninku/nabor,kurzy,aikido
Aikido ML - Bojové umění,Bojové umění ML,bojové umění mariánské lázně,Phrase,"Bojové umění v Mar. Lázních","Aikido – Harmonie těla i ducha","První 3 tréninky zdarma","Hledáte bojové umění? Aikido je sebeobrana bez násilí. Tréninky Út + Pá v Mariánských Lázních.","Vhodné pro úplné začátečníky. Děti i dospělí. Přijďte si zkusit trénink zdarma!",https://aikidoml.cz/cs/detaily-treninku/nabor,bojove-umeni,marianske-lazne
Aikido ML - Bojové umění,Bojové umění ML,bojová umění mariánské lázně,Phrase,"Bojové umění v Mar. Lázních","Aikido – Harmonie těla i ducha","První 3 tréninky zdarma","Hledáte bojové umění? Aikido je sebeobrana bez násilí. Tréninky Út + Pá v Mariánských Lázních.","Vhodné pro úplné začátečníky. Děti i dospělí. Přijďte si zkusit trénink zdarma!",https://aikidoml.cz/cs/detaily-treninku/nabor,bojove-umeni,marianske-lazne
